td_location_norm,mirror_tourney_name_norm,td_location_values,td_tournament_values,mirror_tourney_name_values,seasons,season_min,season_max,editions,alias_required,name_evidence,min_pair_overlap_td_in_mirror,min_pair_overlap_mirror_in_td
berlin,berlin,Berlin,Bett1Open|German Open|Qatar Telecom German Open,Berlin,2007|2008|2021|2022|2023|2024,2007,2024,6,False,exact_normalized_location,1.0,1.0
biel,biel,Biel,Ladies Open Biel Bienne,Biel,2017,2017,2017,1,False,exact_normalized_location,1.0,1.0
birmingham,birmingham,Birmingham,AEGON Classic|Birmingham Classic|DFS Classic|Rothesay Classic|Viking Classic,Birmingham,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024,2007,2024,17,False,exact_normalized_location,0.981818,0.981818
bogota,bogota,Bogota,Copa BBVA Colsanitas|Copa Claro Colsanitas|Copa Colsanitas|Copa Colsanitas Santander|Copa Sony Ericsson Colsanitas,Bogota,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024,2007,2024,17,False,exact_normalized_location,0.967742,0.967742
brisbane,brisbane,Brisbane,Brisbane International,Brisbane,2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2024,2009,2024,13,False,exact_normalized_location,1.0,1.0
brussels,brussels,Brussels,Brussels Open,Brussels,2011|2012|2013,2011,2013,3,False,exact_normalized_location,1.0,1.0
bucharest,bucharest,Bucharest,Bucharest Open,Bucharest,2014|2015|2016|2017|2018|2019,2014,2019,6,False,exact_normalized_location,1.0,1.0
budapest,budapest,Budapest,Budapest Grand Prix|Budapest Open|Gaz de France Budapest Grand Prix|Hungarian Grand Prix|Hungarian Ladies Open|POLI-FARBE Budapest Grand Prix,Budapest,2007|2008|2009|2010|2011|2012|2013|2017|2018|2019|2021|2022|2023|2024,2007,2024,14,False,exact_normalized_location,0.967742,0.967742
cancun,cancun finals,Cancun,WTA Finals,Cancun Finals,2023,2023,2023,1,True,core_location,0.933333,0.933333
carlsbad,carlsbad,Carlsbad,Southern California Open,Carlsbad,2013,2013,2013,1,False,exact_normalized_location,1.0,1.0
carlsbad,san diego,Carlsbad,Mercury Insurance Open,San Diego,2011|2012,2011,2012,2,True,none,1.0,1.0
charleston,charleston,Charleston,Charleston Open|Family Circle Cup,Charleston,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2022|2023|2024,2007,2024,16,False,exact_normalized_location,1.0,1.0
charleston,charleston 1,Charleston,Volvo Car Open,Charleston 1,2021,2021,2021,1,True,core_location,0.981818,0.981818
charleston,charleston 2,Charleston,MUSC Health Women's Open,Charleston 2,2021,2021,2021,1,True,core_location,1.0,1.0
chennai,chennai,Chennai,Chennai Open,Chennai,2022,2022,2022,1,False,exact_normalized_location,1.0,1.0
chicago,chicago 1,Chicago,Chicago Women's Opeen,Chicago 1,2021,2021,2021,1,True,core_location,0.967742,0.967742
chicago,chicago 2,Chicago,Chicago Fall Tennis Classic,Chicago 2,2021,2021,2021,1,True,core_location,1.0,1.0
cincinnati,cincinnati,Cincinnati,Western & Southern Financial Group Women's Open,Cincinnati,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024,2007,2024,17,False,exact_normalized_location,0.967742,0.967742
cleveland,cleveland,Cleveland,Tennis in the Land,Cleveland,2021|2022|2023|2024,2021,2024,4,False,exact_normalized_location,1.0,1.0
cluj napoca,cluj napoca,Cluj-Napoca,Transylvania Open,Cluj Napoca|Cluj-Napoca,2022|2023|2024,2022,2024,3,False,exact_normalized_location,1.0,1.0
cluj napoca,cluj napoca 2,Cluj-Napoca,Transylvania Open,Cluj-Napoca 2,2021,2021,2021,1,True,core_location,1.0,1.0
college park,washington,College Park,Citi Open,Washington,2011,2011,2011,1,True,none,1.0,1.0
copenhagen,copenhagen,Copenhagen,e-Boks Sony Ericsson Open,Copenhagen,2010|2011|2012,2010,2012,3,False,exact_normalized_location,1.0,1.0
courmayeur,courmayeur,Courmayeur,Courmayeur Ladies Open,Courmayeur,2021,2021,2021,1,False,exact_normalized_location,1.0,1.0
dallas,dallas,Dallas,Texas Tennis Open,Dallas,2011|2012,2011,2012,2,False,exact_normalized_location,1.0,1.0
doha,doha,Doha,Qatar Ladies Open|Qatar Open|Qatar Total Open,Doha,2007|2008|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2007,2024,16,False,exact_normalized_location,1.0,1.0
doha,wta championships,Doha,Sony Ericsson Championships,WTA Championships,2010,2010,2010,1,True,none,1.0,1.0
doha,wta tour championships,Doha,Sony Ericsson Championships,WTA Tour Championships,2008|2009,2008,2009,2,True,none,0.933333,0.933333
dubai,dubai,Dubai,Barclays Dubai Tennis Championships|Dubai Duty Free Tennis Championships|Dubai Duty Free Women's Open,Dubai,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2007,2024,18,False,exact_normalized_location,0.935484,0.935484
eastbourne,eastbourne,Eastbourne,AEGON International|Eastbourne International|International Women's Open|Rothesay International|Viking International,Eastbourne,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024,2007,2024,17,False,exact_normalized_location,1.0,1.0
estoril,estoril,Estoril,Estoril Open,Estoril,2007|2008|2009|2010|2011|2012,2007,2012,6,False,exact_normalized_location,1.0,1.0
fes,fes,Fes,FesGrand Prix de SAR La Princesse Lalla Meryem|Grand Prix de SAR La Princesse Lalla Meryem,Fes,2007|2008|2009|2010|2011|2012,2007,2012,6,False,exact_normalized_location,1.0,1.0
